ABBR,TERM
BKN,Balkanabat Airport,
BMI,Central Illinois Regional Airport,
BMO,Bhamo,
CAB,Cabinda Airport,
MLK,Malta,
MLM,Morelia Airport,
MLR,Millicent,
GUE,Guriaso,
MLS,Municipal,
MMR,Camp Maybry AHP,
MMT,Mc Entire ANG Base,
NNI,Namutoni,
KWR,Kwai Harbour,
CAC,Cascavel Airport,
CAF,Carauari,
YXF,Snake River,
YDW,Obre Lake,
RSP,Raspberry Strait,
WHD,SPB,
MNR,Mongu,
MMV,Mal,
ZBU,Aarhus Limo,
YSZ,Squirrel Cove,
MMW,Moma,
CAM,Camiri,
GUN,Gunter AFB,
CAO,Clayton,
CAQ,Caucasia,
CAR,Municipal,
CAS,Anfa,
CAU,Caruaru,
CAW,Bartolomeu Lisandro Airport,
CBB,J Wilsterman Airport,
CBF,Municipal,
CBG,Cambridge Airport,
CBH,Leger,
CBK,Municipal,
IIN,Nishinoomote,
CBL,Ciudad Bolivar,
XKO,Kemano,
CBN,Penggung,
KNY,Kinoosao,
CBS,Oro Negro,
CCC,Jardines del Rey Airport,
CCF,Carcassonne Airport,
CCH,Chile Chico,
MNS,Mansa,
CCI,Concordia,
CCK,Cocos Islands Airport,
YDA,Dawson City Airport,
ZQW,Zweibruecken Airport,
JRB,Downtown Manhattan Heliport,
WLN,Little Naukati,
RAB,Tokua Airport,
RRS,Roros Airport,
WRH,Wrench Creek,
CCM,Criciuma,
CCN,Chakcharan,
CCQ,Cachoeira,
CCT,Colonia Catriel,
HAX,Hatbox Field,
YBM,Bronson Creek,
WAN,Waverney,
WUG,Wau,
BNK,Ballina Byron Airport,
BNL,Barnwell Regional,
BNN,Bronnoysund Airport Bronnoy,
MNA,Melangguane,
UMB,North Shore,
MNI,Bramble Airport,
MLU,Monroe Regional Airport,
YRA,Rae Lakes,
MME,Durham Tees Valley Airport,
ASI,Saint Helena Airport,
BAN,Basongo,
BHC,Bhurban Heliport,
BNI,Benin City Airport,
BPA,Grumman,
BPS,Porto Seguro Airport,
MMF,Mamfe,
BPX,Bangda Airport,
BQG,Bogorodskoye,
MNN,Municipal,
MMH,Mammoth Lakes Airport,
MMK,Murmansk Airport,
GFA,Malmstrom AFB,
MMM,Middlemount,
HNX,Hanna,
FGR,Fuengirola,
ILF,Ilford,
FIN,Finschhafen,
FMG,Flamingo,
GBO,Baltimore Greenbelt T,
IUM,Summit Lake,
MMQ,Mbala,
MMU,Morristown Municipal Airport,
MMX,Malmo Airport,
DSC,Dschang,
LSA,Losuia,
RBV,Ramata,
PEN,Penang International Airport,
BSK,Biskra Airport,
MCZ,Maceio-Zumbi dos Palmares International Airport,
EBW,Ebolowa,
CCU,Netaji Subhas Chandra Bose Airport,
MDB,Melinda,
CCY,Municipal,
AOD,Abou Deia,
AZR,Adrar Airport,
BPC,Bamenda,
BQS,Blagoveschensk Airport,
BQT,Brest Airport,
BRA,Barreiras Airport,
BRB,Barreirinhas,
BSB,Brasilia International Airport,
CDE,Caledonia,
CDH,Harrell Field,
CDK,Lewis,
CDN,Woodward Field,
MDD,Airpark,
MDF,Medford,
GBG,Galesburg,
IRA,Kirakira Airport,
MDI,Makurdi,
MDJ,City-county,
PEW,Bacha Khan International Airport,
PEY,Penong,
PEZ,Penza Airport,
PHL,Philadelphia International Airport,
PHN,St Clair County International,
PKE,Parkes Airport,
PKZ,Pakse Airport,
PLA,Planadas,
PLF,Pala,
PLL,Ponta Pelada,
CZL,Ain El Bey Airport,
YRB,Resolute Bay Airport,
QBC,Bella Coola Airport,
ACE,Lanzarote Airport,
CDP,Cuddapah,
CDS,Childress,
CDW,Caldwell Wright,
CEE,Cherepovets Airport,
CEF,Westover ARB/Metropolitan,
CEG,Hawarden Airport,
CEO,Waco Kungo,
CES,Cessnock,
CET,Le Pontreau,
CEU,Oconee County,
CEV,Mettle Field,
MIQ,Simón Bolívar International,
MDX,Mercedes,
MED,Prince Mohammad Bin Abdulaziz International Airport,
PLM,Sultan Mahmud Badaruddin II Airport,
PLN,Emmet County Airport,
PLO,Port Lincoln Airport,
PLS,Providenciales International Airport,
PLW,Mutiara Airport,
PLZ,Port Elizabeth International Airport,
PMC,El Tepual Airport,
PMI,Palma de Mallorca Airport,
PNH,Phnom Penh International Airport,
PNI,Pohnpei Airport,
BSQ,Bisbee Municipal Airport,
DHO,Horn River,
KEA,Keisah Airport,
AMF,Ama,
SVY,Savo,
VAO,Suavanao Airstrip,
YAU,Kattiniq/donaldson,
YAD,Moose Lake,
YAX,Angling Lake Airport,
AMR,Arno,
BBV,Hkg,
BST,Bost,
BSU,Basankusu,
CEW,Bob Sikes,
BSM,Bishe-kola,
CEY,Calloway County,
AAW,Abbottabad,
LYT,Lady Elliot Island,
AHT,Amchitka,
BSO,Basco Airport,
CFQ,Creston Valley Airport,
CFR,Carpiquet Airport,
CFT,Morenci,
MEV,Douglas County,
MEX,Benito Juarez International Airport,
MFC,Mafeteng,
GBC,Gasuke,
MFD,Lahm Municipal,
POA,Salgado Filho International Airport,
POD,Podor,
POG,Port Gentil,
POH,Pocahontas Municipal,
PPT,Tahiti Faa'a Airport,
PPY,Pouso Alegre,
PPZ,Puerto Paez,
PRY,Wonderboom Airport,
PSA,Pisa International Airport,
PSC,Tri-Cities Airport,
GUV,Mougulu,
YFB,Iqaluit Airport,
HAH,Prince Said Ibrahim Internatonal Airport,
PVD,Theodore Francis Green Memorial State Airport,
PVG,Shanghai Pudong International Airport,
PVH,Porto Velho International Airport,
MRM,Manare,
MNC,Nacala,
TPI,Tapini,
SBE,Suabi,
MND,Medina,
YBV,Berens River Airport,
YBW,Springbank,
YBB,Kugaaruk,
YBF,Bamfield,
MPE,Griswold,
YDB,Burwash Landings,
YER,Fort Severn,
YCS,Chesterfield Inlet,
MPJ,Petit Jean Park,
MNX,Manicore,
MOB,Mobile Regional Airport,
AAE,Les Salines Airport,
AAI,Arraias,
AAU,Asau,
AAX,Araxa Airport,
ABA,Abakan Airport,
ABF,Abaiang,
APE,San Juan Aposento,
BIY,Bisho,
BTJ,Sultan Iskandar Muda International Airport,
BTR,Baton Rouge Metropolitan Airport,
BTV,Burlington International Airport,
CFV,Municipal,
CGB,Marechal Rondon International Airport,
CGE,Cambridge,
MOC,Montes Claros Airport,
MOE,Momeik,
MPQ,Maan,
MPR,Mcpherson,
MPS,Mount Pleasant,
YLM,Clinton Creek,
YKE,Knee Lake,
YGK,Kingston/Norman Rogers Airport,
MPT,Maliana,
WAQ,Antsalova,
MOL,Molde Airport Aro,
YHD,Dryden Regional Airport,
YIK,Ivujivik,
DJN,Delta Junction,
EFO,East Fork Airport,
MOQ,Morondava Airport,
MOT,Minot International Airport,
MOV,Moranbah Airport,
MPH,Boracay Airport,
MPK,Mokpo,
ACJ,Anuradhapura,
ACM,Arica,
ACU,Achutupo,
ADA,Adana Airport,
ADE,International,
ADF,Adiyaman Airport,
ADN,Andes,
ADR,Andrews,
ADZ,Gustavo Rojas Pinilla Airport,
BWC,Brawley,
BWD,Brownwood,
BWN,Brunei International Airport,
BWO,Balakovo,
CGG,Casiguran,
CGH,Sao Paulo/Congonhas Airport,
CGJ,Chingola,
MPL,Montpellier Mediterranee Airport,
MPO,Mt Pocono,
MQK,San Matias,
MQY,Smyrna,
MRI,Merrill Field,
BQE,Bubaque,
MFZ,Mesalia,
BSV,Besakoa,
BWT,Burnie Wynyard Airport,
YLC,Kimmirut,
YPO,Peawanuck,
PXU,Pleiku Airport,
BXN,Imsik,
YWL,Williams Lake Airport,
YPI,Port Simpson,
QUO,Akwa Ibom Airport,
MQV,Mostaganem,
CAD,Cadillac,
YOJ,Footner Lake Airport,
MQW,Telfair-Wheeler,
CAG,Cagliari Elmas Airport,
MQX,Makale Airport,
YQN,Nakina,
MQZ,Margaret River,
MRA,Misurata Airport,
CAH,Kamau ,
CBR,Canberra Airport,
CBT,Catumbela Airport,
CGQ,Changchun Longjia International Airport,
CGR,Campo Grande International Airport,
AEP,Jorge Newbery Airport,
AFA,San Rafael Airport,
AFI,Amalfi,
AFY,Afyon,
AGB,Augsburg Airport,
AGE,Flugplatz,
AGF,La Garenne Airport,
AGI,Wageningen,
AGT,Alejo Garcia Airport,
AGU,Aguascalients International Airport,
APP,Asapa,
CGU,Ciudad Guayana,
CGV,Caiguna,
CGY,Laguindingan International Airport,
MRC,Maury County,
MRD,A Carnevalli,
MRF,Municipal,
CBW,Campo Mourao,
MWY,Miranda Downs,
YQT,Thunder Bay International Airport,
RFS,Rosita,
CCB,Cable Airport,
RGK,Gorno-Altaysk Airport,
CCG,Crane County Airport,
CCJ,Calicut International Airport,
MWG,Marawaka,
MXH,Moro Airport,
AHM,Sumner Parker Field,
CDY,Cagayan De Sulu,
MRJ,Marcala,
KMR,Karimui,
CEB,Mactan-Cebu International Airport,
CEC,Del Norte County Regional Airport,
CEI,Chiang Rai International Airport,
LMG,Lamassa,
CGZ,Municipal,
CHH,Chachapoyas,
CHJ,Chipinge,
CHK,Municipal,
AHS,Ahuas,
AIF,Assis,
MRK,Marco Island,
AIL,Ailigandi,
AIS,Arorae Island,
MRL,Miners Lake,
AJA,Ajaccio Napoleon Bonaparte Airport,
AJF,Jouf Airport,
AJI,Agri Airport,
AJK,Araak,
AJS,Abreojos,
AKA,Ankang,
AKD,Akola,
DRC,Dirico,
HVA,Analalava,
IAM,In Amenas Airport,
MRN,Lenoir,
MRR,Macara,
MSR,Mus Airport,
RGN,Yangon International Airport,
KPA,Kopiago,
AGH,Angelholm Helsingborg Airport,
MSS,Richards Field,
AKR,Akure,
MSU,Moshoeshoe International Airport,
JRA,West 30th St Heliport,
IDB,Idre,
CGI,Cape Girardeau Airport,
CGK,Soekarno-Hatta International Airport,
MSW,Massawa International,
CGP,Shah Amanat International Airport,
CHA,Chattanooga Airport,
CHL,Challis,
CHR,Chateauroux,
CHS,Charleston International Airport,
CHV,Chaves,
CHX,Changuinola,
CIA,Ciampino-G. B. Pastine International Airport,
CID,The Eastern Iowa Airport,
CIE,Collie,
CII,Cildir,
CIJ,E. Beltram Airport,
AKU,Aksu Airport,
AKX,Aktyubinsk Airport,
ALA,Almaty Airport,
ALE,Alpine,
ALL,Albenga,
ALP,Nejrab,
ALQ,Federal,
AMD,Ahmedabad Airport,
AMJ,Almenara,
AML,Puerto Armuellas,
AMS,Amsterdam Airport Schiphol,
AOS,Amook,
JAV,Ilulissat Airport,
MSZ,Yuri Gagarin Airport,
MTA,Matamata,
PCK,Porcupine Creek,
CHB,Chilas,
DCK,Dahl Creek Airport,
CHC,Christchurch International Airport,
JON,Johnston Island,
AMZ,Ardmore,
EGS,Egilsstadir Airport,
CHF,Jinhae,
CHG,Chaoyang Airport,
MGX,Moabi,
CIM,Cimitarra,
CIN,Carroll,
CIO,MCAL Lopez,
CIQ,Chiquimula,
CIR,Cairo,
CIS,Canton Island,
KVU,Korolevu,
AHY,Ambatolahy,
ANA,John Wayne International,
ANG,Brie-Champniers,
ANL,Andulo,
ANU,V.C. Bird International Airport,
AOC,Altenburg Nobitz,
AOG,Anshan Teng'ao Airport,
ARZ,N'zeto,
AUI,Aua Island,
BMZ,Bamu,
CIT,Shymkent Airport,
CIX,Cornel Ruiz Airport,
CIZ,Coari,
CJA,Cajamarca Airport,
MTB,Monte Libano,
MTC,Selfridge ANGB,
MTE,Monte Alegre,
MTG,Mato Grosso,
FOU,Fougamou,
GEO,Cheddi Jagan International Airport,
IGE,Iguela,
BPY,Besalampy,
MTI,Mosteiros,
MTL,Maitland,
RLK,Bayannur Tianjitai Airport,
NNB,Santa Ana Airport,
WBD,Befandriana,
RVA,Farafangana,
BMD,Belo,
RVC,Rivercess,
RVH,Rzhevka,
CJB,Coimbatore International Airport,
CJC,El Loa Airport,
APB,Apolo,
MNT,Minto,
CJD,Candilejas,
KMA,Kerema,
MTN,Glenn L Martin,
CJJ,Cheongju Airport,
CJL,Chitral,
CKB,Benedum Airport,
MVL,Morrisville-Stowe,
CKC,Cherkassy,
CKG,Chongqing Jiangbei International Airport,
CKH,Chokurdah Airport,
CKK,Cherokee,
CKL,Chkalovsky,
CKM,Fletcher Field,
APG,Phillips AAF,
APH,Camp A P Hill,
MUI,Muir AAF,
APO,Apartado Airport,
APQ,Arapiraca,
APS,Anapolis,
APT,Marion County,
APV,Apple Valley,
APX,Arapongas,
APY,Alto Parnaiba,
APZ,Zapala,
AQA,Araraquara,
AQB,Quiche Airport,
CKN,Municipal,
CKO,Cornelio Procopio,
CKT,Sarakhs,
TCJ,Torembi Airport,
AMO,Mao,
APL,Nampula Airport,
ARB,Municipal,
CKU,City,
CKW,Christmas Creek Mine,
CKY,Conakry Airport,
MPM,Maputo International Airport,
CKZ,Canakkale Airport,
MUJ,Mui,
SAQ,San Andros,
CLD,McClellan-Palomar Airport,
CLG,Coalinga,
CLH,Coolah,
CLI,Clintonville,
CLK,Municipal,
CLM,Fairchild International,
CLN,Carolina,
CLO,Alfonso B. Aragon Airport,
ARD,Alor Island Airport,
ARG,Walnut Ridge,
ARJ,Arso,
ARO,Arboletas,
ARR,Alto Rio Senguerr,
ART,Watertown Airport,
ARV,Noble F. Lee,
ARW,Arad,
ARX,Asbury Park,
ASF,Astrakhan Airport,
ASS,Arathusa Safari Lodge,
CLQ,Colima Airport,
CLR,Calipatria,
FRK,Fregate Island,
FSL,Fossil Downs,
GSL,Taltheilei Narrows,
SDK,Sandakan Airport,
AEB,Youjiang,
YSX,Shearwater,
LSJ,Long Island,
MUL,Spence,
MVQ,Mogilev,
MUO,Mountain Home AFB,
MUU,Mount Union,
CLS,Centralia,
CLU,Columbus Municipal,
CLV,Caldas Novas,
CLW,Executive,
CLX,Clorinda,
CLY,Sainte Catherine Airport,
CLZ,Calabozo,
CMC,Camocim,
CMD,Cootamundra,
CME,Ciudad Del Carmen Airport,
CMF,Chambery,
CMH,John Glenn Columbus International Airport,
MUW,Mascara-Ghriss,
AMP,Ampanihy,
ASL,Harrison County,
ASN,Talladega,
ASX,Ashland,
ASY,Ashley,
ATG,Attock,
ATI,Artigas,
ATJ,Antsirabe,
ATM,Altamira Airport,
ATO,Ohio University,
ATX,Atbasar,
BFO,Buffalo Range,
GHA,Noumerate Airport,
MUY,Mouyondzi,
MVA,Reykiahlid,
MVB,Franceville/Mvengue,
MVC,Monroe - Walton County,
MTP,Montauk Airport,
CPV,Joao Suassuna Airport,
ANJ,Zanaga,
NUT,Nutuve,
CRW,Yeager Airport,
YVC,La Ronge,
LWI,Lowai,
LIX,Likoma,
MVF,Dixsept Rosado,
MVG,Mevang,
MVH,Macksville,
MTR,Los Garzones Airport,
MVJ,Marlboro,
MUE,Kamuela,
CSI,Casino,
MVM,Monument Valley,
MUN,Jose Tadeo Monagas International Airport,
MVO,Mongo,
SIO,Smithton,
CTP,Carutapera,
GSJ,Puerto San Jose,
GUQ,Guanare,
GWD,Gwadar Airport,
AUG,Augusta Airport,
AUM,Austin,
AUN,Auburn,
AUO,Auburn-Opelika,
AUR,Aurillac Airport,
AUX,Araguaina Airport,
AVA,An Shun/Huang Guo Shu Airport,
CMK,Club Makokola,
CMN,Mohamed V International Airport,
CMP,Campo Alegre,
CMR,Colmar-houssen,
CMT,Cameta,
CMW,Ign Agramonte International Airport,
CNA,Cananea,
BRJ,Bright,
CND,Kogalniceanu Airport,
GWL,Gwalior Airport,
GWO,Leflore,
GZP,Gazipasa Airport,
GZT,Gaziantep Airport,
HAQ,Hanimaadhoo Airport,
SPG,Whitted,
WDN,Waldron Island,
XMP,Macmillan Pass,
AXG,Algona,
GOT,Goteborg Landvetter Airport,
XCL,Cluff Lake,
GOY,Amparai,
HDN,Yampa Valley Airport,
HDY,Hat Yai International Airport,
YWK,Wabush Airport,
HEA,Herat International Airport,
HER,Heraklion Airport,
HYV,Hyvinkaa,
HZB,Merville/Calonne,
MUT,Muscatine,
MUX,Multan Airport,
MUZ,Musoma Airport,
AWM,Municipal,
AXM,El Eden Airport,
AXN,Alexandria,
AXP,Springpoint Airport,
AXV,Neil Armstrong,
YLX,Long Point,
AYA,Ayapel,
AYE,AAF Heliport,
AYP,Yanamilla Airport,
BIC,Aérodrome de Belle Île,
BSG,Bata Airport,
CNG,Parvaud,
CNH,Municipal,
CNI,Changhai,
CNK,Blosser Municipal,
MVD,Carrasco International Airport,
MVN,Mt Vernon-Outland,
MXA,Municipal,
MXB,Masamba,
MXC,San Juan County,
MXE,Maxton,
MXG,Marlborough,
YKU,Chisasibi,
NKU,Nkaus,
SUJ,Satu Mare International Airport,
DLA,Douala Airport,
MIS,Misima Island,
MUA,Munda Airport,
SSM,Sault Ste. Marie Airport,
MCX,Makhachkala Airport,
MCY,Sunshine Coast Airport,
MDC,Sam Ratulangi International Airport,
MOW,Mpanda Airport,
LEF,Lebakeng,
LES,Lesobeng,
MPA,Mpacha,
CIP,Chipata,
MXI,Imelda Romualdez Marcos,
MXJ,Minna,
LCT,Shijiazhuang Luancheng Airport,
MVV,Megeve,
MVZ,Masvingo,
MXO,Municipal,
MWA,Williamson County Airport,
CNL,Sindal,
CNQ,Camba Punta Airport,
CNU,Martin Johnson,
CNV,Canavieiras,
CNW,TSTC Waco Airport,
COC,Concordia,
COE,Coeur D'Alene,
COF,Patrick AFB,
AYZ,Zahns,
AZD,Yazd Airport,
AZG,Apatzingan,
AZS,Samaná El Catey International,
AZT,Zapatoca,
BAB,Beale AFB,
BAD,Barksdale AFB,
BAE,Barcelonnette,
BAF,Barnes,
BAL,Batman Airport,
COG,Mandinga,
COI,Merritt Island,
COJ,Coonabarabran,
COM,Coleman,
DAU,Daru Airport,
MNV,Mountain Valley,
YFO,Flin Flon Airport,
SZZ,Goleniow Airport,
OMG,Omega,
JJN,Quanzhou Jinjiang International Airport,
JAX,Jacksonville International Airport,
SOL,Solomon,
YGV,Havre St Pierre,
JBQ,La Isabela International Airport,
JER,Jersey Airport,
JFK,John F. Kennedy International Airport,
LUN,Kenneth Kaunda International Airport,
JKG,Axamo Airport,
MDT,Harrisburg International Airport,
MDW,Chicago Midway International Airport,
KCI,Kon,
MDZ,El Plumerillo International Airport,
KOE,El Tari Airport,
JLA,Quartz Creek,
KOJ,Kagoshima Airport,
KOK,Kruunupyy Airport,
LCH,Lake Charles Regional Airport,
MEB,Essendon Airport,
MWB,Morawa,
MWE,Merowe,
BAY,Baia Mare,
BAZ,Barbelos,
BBB,Benson Municipal Airport,
BBC,Bay City,
BBD,Curtis Field,
BBF,Burlington,
BBM,Battambang,
BCB,Virginia Tech,
BCC,Bear Creek,
COR,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport,
COS,Colorado Springs Airport,
COT,Cotulla,
COU,Columbia Regional Airport,
COV,Covilha,
KGH,Yongai,
KCJ,Komaio,
TAB,A.N.R. Robinson International Airport,
TAE,Daegu International Airport,
BCL,Barra Colorado,
MFH,Mesquite,
TAH,Tanna Airport,
TAK,Takamatsu Airport,
TAM,Tampico International Airport,
TBR,Statesboro-Bulloch County Airport,
TBS,Tbilisi International Airport,
AAH,Aachen/Merzbruck,
TBZ,Tabriz Airport,
COW,Coquimbo,
COX,Congo Town,
BCH,Cakung International,
LCK,Rickenbacker International Airport,
LCX,Liancheng Airport,
LDG,Leshukonskoye,
COZ,Constanza,
CPA,A. Tubman,
CPC,Chapelco Airport,
CPE,Campeche International Airport,
CPF,Cepu,
CPH,Copenhagen Airport,
CPL,Chaparral,
CPM,Compton,
CPO,Chamonate Airport,
CPQ,International,
BCJ,Baca Grande,
BCM,Bacau Airport,
BCQ,Brack,
BCR,Boca Do Acre,
BCT,Public,
BCU,Bauchi,
BCX,Beloreck,
BCY,Bulchi,
BDC,Barra Do Corda,
BDF,Rinkenberger,
BDN,Talhar,
CPR,Casper/Natrona County International Airport,
CPS,St. Louis Downtown Airport,
CPT,Cape Town International Airport,
ABD,Abadan Airport,
YGO,Gods Lake Narrows Airport,
ABT,Al-Aqiq Airport,
ABV,Nnamdi Azikiwe International Airport,
ABX,Albury Airport,
AMA,Rick Husband Amarillo International Airport,
YDJ,Hatchet Lake,
CPU,Cururupu,
TCA,Tennant Creek,
TCG,Tacheng,
TCN,Tehuacan,
TED,Thisted,
YEU,Eureka,
TEI,Tezu,
TEM,Temora,
TEN,Tongren Airport,
CPX,Benjamin Rivera Noriega Airport,
TER,Lajes Field,
TES,Tessenei,
CQF,Calais,
CRC,Cartago,
WDH,Hosea Kutako International Airport,
CRD,General E. Mosconi International Airport,
CRH,Cherribah,
CRM,National Airport,
CRO,Corcoran,
CRQ,Caravelas,
CRR,Ceres,
CRS,Corsicana,
CRT,Municipal,
CRX,Roscoe Turner,
CRZ,Turkmenabad,
BDY,State,
BEH,Ross Field,
BEK,Bareli,
BEO,Belmont,
BEP,Bellary,
BEV,Beer Sheba,
BEX,Benson RAF Station,
BFD,Bradford Airport,
BFE,Bielefeld,
CSA,Isle Of Colonsay,
CSB,Caransebes,
MUB,Maun Airport,
ADH,Aldan,
ADL,Adelaide Airport,
OUU,Ouanga,
ADU,Ardabil Airport,
AEG,Aek Godang,
BFI,Boeing Field International Airport,
DNM,Denham,
TGO,Tongliao Airport,
TGP,Podkamennaya Tunguska Airport,
TGQ,Tangara da Serra,
TGT,Tanga Airport,
TGU,Toncontin Airport,
THE,Teresina Airport,
THQ,Maijishan,
THS,Sukhothai Airport,
MEZ,Messina,
MBH,Maryborough,
TIM,Timika Airport,
BFJ,Bijie Airport,
MBI,Mbeya Airport,
MCP,Macapa International Airport,
MNB,Moanda,
MWL,Mineral Wells Airport,
MWM,Windom Municipal,
MWO,Hook Field,
MWX,Muan International Airport,
MWZ,Mwanza Airport,
MXL,Mexicali Airport,
MXN,Morlaix,
MXP,Milano Malpensa Airport,
BFK,Buffalo Municipal Airport,
BFR,Virgil I Grissom Municipalcipal,
BFT,County,
BFU,Bengbu,
BGC,Braganca Airport,
BGE,Decatur County,
BGF,Bangui Airport,
BJD,Bakkafjordur,
BOA,Boma,
CSD,Cresswell Downs,
CSF,Creil,
CSH,Solovky,
CSQ,Municipal,
CSS,Cassilandia,
YFG,Fontanges,
MCS,Monte Caseros,
YOA,Ekati,
MGQ,Mogadishu International Airport,
DCG,Dubai Creek SPB,
TIP,Tripoli International Airport,
TIQ,Tinian International,
TIR,Tirupati Airport,
TIU,Timaru Airport,
TIV,Tivat Airport,
TIX,Space Coast Regional,
DRF,Drift River,
TIY,Tidjikja,
TJH,Tajima,
TJK,Tokat,
MZF,Mzamba(Wild Coast Sun),
TJM,Roshchino International Airport,
MZH,Merzifon Airport,
TJN,Takume,
TJS,Tanjung Selor,
TKF,Truckee-Tahoe,
TMA,Henry Tift Myers,
MZJ,Marana,
MZK,Marakei,
MZM,Frescaty,
MZO,Sierra Maestra Airport,
MYA,Moruya Airport,
MYD,Malindi Airport,
MZR,Mazar-I-Sharif Airport,
BGZ,Braga,
BHA,Bahia De Caraquez,
BHB,Bar Harbor Airport,
BHH,Bisha Airport,
BHI,Comandante Airport,
BHK,Bukhara Airport,
BHO,Raja Bhoj Airport,
BHS,Raglan Airport,
BHV,Bahawalpur Airport,
BIF,Biggs AAF,
CSV,Memorial,
CSY,Cheboksary Airport,
CSZ,Brigadier Hector Ruiz,
CTB,Cut Bank,
SVB,Sambava,
AJR,Arvidsjaur Airport,
AJU,Aracaju Airport,
AJY,Agades,
AMG,Amboin,
CTC,Catamarca Airport,
TMB,Tamiami,
TMD,Timbedra,
TMW,Tamworth Airport,
TNS,Tungsten,
LCR,La Chorrera,
TNA,Jinan Yaoqiang International Airport,
CTD,Chitre,
TNF,Toussus-le-noble,
TNG,Tangier Ibn Battouta Airport,
TNI,Satna,
TNN,Tainan Airport,
YHP,Poplar Hill,
CTF,Coatepeque Airport,
CTH,Chestercounty Carlson,
CTI,Cuito Cuanavale,
CTM,Chetumal Airport,
CTN,Cooktown Airport,
CTQ,Do Palmar,
CTR,Cattle Creek,
CTU,Chengdu Shuangliu International Airport,
CTX,Cortland,
CTZ,Sampson County,
CUD,Caloundra,
LZI,Luozi,
BIH,Bishop,
BIQ,Biarritz - Anglet - Bayonne Airport,
BIR,Biratnagar Airport,
BIT,Baitadi,
BIV,Bria,
BIX,Keesler AFB,
BJC,Jeffco,
BJJ,Wayne County,
BJP,Braganca Paulista,
CUE,Mariscal Lamar International Airport,
YSF,Stony Rapids,
BLB,Panama Pacifico Airport,
PDB,Pedro Bay,
BJW,Bajawa Soa Airport,
TPR,Tom Price,
BJZ,Badajoz Airport,
BKB,Bikaner,
BKD,Stephens County,
TQN,Taluqan,
TQQ,Maranggo Airport,
YOS,Billy Bishop Regional,
BLF,Princeton,
BLG,Belaga,
TRC,Francisco Sarabia International Airport,
TRD,Trondheim Airport Vaernes,
TRI,Tri-Cities Regional Airport,
TRJ,Tarakbits,
TRN,Turin Airport,
TRO,Taree Airport,
TRR,China Bay,
BLM,Monmouth Executive Airport,
BKE,Baker,
BLN,Benalla,
YUT,Repulse Bay,
BLP,Bellavista,
CUH,Municipal,
AMI,Selaparang,
AMM,Queen Alia International Airport,
AMQ,Pattimura Airport,
AMV,Amderma,
AOM,Adam Airport,
AON,Arona,
KLI,Kota Koli,
BKX,Brookings,
BKY,Kavumu,
CVN,Clovis Municipal Airport,
CVO,Albany,
MXM,Morombe,
MYJ,Matsuyama Airport,
MYN,Mareb,
MYR,Myrtle Beach International Airport,
MYV,Yuba County,
MYW,Mtwara Airport,
MYY,Miri Airport,
MZB,Mocimboa Praia,
MZI,Mopti,
MZL,La Nubia Airport,
MZP,Motueka,
MZQ,Mkuze,
ANF,Cerro Moreno International Airport,
BLQ,Guglielmo Marconi Airport,
SZK,Skukuza Airport,
ANK,Etimesgut,
NAT,Sao Goncalo do Amarante-Governador Aluizio Alves Intl Airport,
NIS,Simberi,
ANS,Andahuaylas,
BLU,Blue Canyon,
BLV,Belleville,
BLX,Belluno,
ANX,Andenes Airport,
NAV,Nevsehir,
NBA,Nambaiyufa,
NBG,NAS/Alvin Callendar,
AOI,Ancona Falconara Airport,
ARQ,Arauquita,
ASZ,Asirim,
NBL,San Blas,
BDV,Moba,
YWS,Whistler,
BLY,Belmullet,
KLY,Kalima,
MZT,Mazatlan International Airport,
NAD,Macanal,
NBU,NAS,
NBV,Cana Brava,
BMG,Bloomington,
BMN,Bamerny,
NBW,Guantanamo NAS,
NAE,Natitingou,
BMR,Baltrum,
BMS,Brumado,
BMU,Sultan Muhammad Salahuddin Airport,
NAG,Dr. Babasaheb Ambedkar International Airport,
DOO,Dorobisoro,
EKT,Eskilstuna,
NAJ,Nakhichevan Airport,
NCG,Nueva Casas Grandes,
NAP,Naples International Airport,
AOT,Corrado Gex,
YYQ,Churchill Airport,
TSF,Treviso Airport,
BNP,Bannu,
TSJ,Tsushima Airport,
TSR,Timisoara Traian Vuia International Airport,
TST,Trang Airport,
BNU,Blumenau,
APC,Napa County,
APF,Naples Municipal Airport,
API,Apiay,
APN,Alpena County Regional Airport,
AVU,Avu Avu,
BNC,Beni,
NDY,Sanday,
BNE,Brisbane Airport,
BNG,Banning,
NWA,Moheli,
REZ,Resende,
BNW,Boone,
BOD,Bordeaux Airport,
NAW,Narathiwat Airport,
PIW,Pikwitonei,
TTS,Tsaratanana,
BOI,Boise Air Terminal (Gowen Field),
BOJ,Bourgas Airport,
BOL,Ballykelly,
BON,Flamingo International Airport,
BOU,Bourges,
AOO,Altoona Airport,
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,
AOR,Sultan Abdul Halim Airport,
